Season,Holiday,Temperature,Humidity,Wind_speed,Visibility,Dew_point,Solar_radiation,Rainfall,Snowfall,Rented_bikes
Autumn,No Holiday,8.4,70.66666666666667,1.0666666666666667,1075.6666666666667,3.1999999999999997,0.42666666666666664,0,0,2132
Summer,No Holiday,28.666666666666668,75,1.1333333333333333,759,23.7,0.66,0,0,3808
Summer,No Holiday,26.733333333333334,70,1.0333333333333332,974.6666666666666,20.7,1.0133333333333334,0,0,4176
Summer,No Holiday,18.7,57,1.2,1983,9.9,1.1333333333333333,0,0,2619
Winter,No Holiday,-5.1,51,1.1,1389.6666666666667,-13.666666666666668,0.04,0,0,1346
Spring,No Holiday,9.566666666666666,41,1.2,1548.3333333333333,-3.2,0.5433333333333333,0,0,3665
Winter,No Holiday,1.6,80.33333333333333,1.5666666666666667,334,-1.4000000000000001,0.060000000000000005,0,0,507
Spring,No Holiday,7.133333333333333,75.66666666666667,1.2333333333333334,756.6666666666666,3,0.6233333333333333,0,0,1137
Summer,Holiday,30.166666666666668,61.333333333333336,1,1856.3333333333333,21.733333333333334,0.8533333333333334,0,0,1545
Spring,No Holiday,4.6,41.666666666666664,4.066666666666666,1995,-7.333333333333333,0.45666666666666667,0,0,2550
Summer,No Holiday,26,65.33333333333333,1,1985.6666666666667,18.8,0.77,0,0,4335
Autumn,No Holiday,6.833333333333333,79,1.1,364.6666666666667,3.3333333333333335,0.21666666666666667,0,0,1197
Summer,No Holiday,26.133333333333333,70,0.5,1950,20.133333333333333,0.99,0,0,4856
Winter,No Holiday,-15.966666666666667,29,2.6666666666666665,2000,-29.933333333333334,0.06666666666666667,0,0.9,720
Spring,No Holiday,18.46666666666667,31.333333333333332,1.6333333333333333,1377.6666666666667,5.533333333333333,0.6866666666666666,0,0,1711
Winter,No Holiday,-9.233333333333334,53.666666666666664,3.6,1972,-16.900000000000002,0.14333333333333334,0,0.3,351
Winter,No Holiday,-4.8999999999999995,53.333333333333336,1.2000000000000002,1383.3333333333333,-12.933333333333334,0.06,0,0,325
Summer,No Holiday,31.866666666666667,54.333333333333336,1.5333333333333334,1678.6666666666667,21.400000000000002,0.83,0,0,3192
Autumn,No Holiday,20.433333333333334,57.333333333333336,1.7666666666666666,2000,11.6,0.75,0,0,4866
Autumn,No Holiday,4,65.66666666666667,1.5,1937.3333333333333,-1.8666666666666667,0.3466666666666667,0,0,3963
Autumn,No Holiday,9.033333333333333,76.33333333333333,0.6,509.6666666666667,4.966666666666667,0.14666666666666667,0,0,0
Spring,No Holiday,19.333333333333332,32.666666666666664,0.8666666666666667,1507.3333333333333,9.266666666666666,1.1566666666666667,0,0,4827
Winter,No Holiday,2.4333333333333336,65,1.7,1525.3333333333333,-3.4666666666666663,0.06333333333333332,0,0,1224
Spring,No Holiday,14.166666666666666,97.33333333333333,0.8333333333333334,261.3333333333333,13.7,0.02,5.666666666666667,0,86
Autumn,Holiday,17.3,67.33333333333333,0.8666666666666667,1983.6666666666667,11.066666666666666,0.38666666666666666,0,0,1234
Autumn,No Holiday,10.8,62,0.5666666666666667,1347.3333333333333,3.7,0.24666666666666667,0,0,4527
Summer,No Holiday,19,70.33333333333333,1.3,1997.3333333333333,13.4,0.7000000000000001,0,0,4965
Autumn,No Holiday,18.166666666666668,52.333333333333336,1.5666666666666667,2000,8.133333333333333,0.6066666666666667,0,0,5159
Spring,No Holiday,17,55.666666666666664,1.3666666666666667,830.3333333333334,7.833333333333333,1.17,0,0,4367
Autumn,No Holiday,8.166666666666666,71,0.9,696,3.033333333333333,0.45666666666666667,0,0,1635
Summer,No Holiday,21.266666666666666,57.666666666666664,1.0666666666666667,1096.3333333333333,12.433333333333334,1.17,0,0,5268
Autumn,No Holiday,20.7,71.66666666666667,2.3333333333333335,1530.3333333333333,15.3,0.5133333333333333,0,0,4800
Winter,No Holiday,-3.9,75,0,1527.6666666666667,-7.633333333333334,0.08666666666666667,0,0.23333333333333334,1621
Autumn,No Holiday,2.2666666666666666,83.33333333333333,1.1,382.6666666666667,-0.3,0.14333333333333334,0,0.26666666666666666,3138
Summer,No Holiday,31.666666666666668,50.666666666666664,1.3333333333333335,1928.6666666666667,20.133333333333333,0.8366666666666667,0,0,3398
Spring,No Holiday,13.833333333333334,79.33333333333333,0.6333333333333333,347.3333333333333,10.233333333333333,0.4766666666666667,0,0,4354
Winter,No Holiday,5.133333333333333,83,0.7666666666666666,285.6666666666667,2.4333333333333336,0.01,0,0,526
Winter,No Holiday,-6.3,58.666666666666664,1.1666666666666667,1517,-13.1,0.05333333333333334,0,0,512
Autumn,No Holiday,20.733333333333334,89.33333333333333,2.033333333333333,867.3333333333334,18.8,0.5866666666666667,0,0,4431
Winter,No Holiday,1.9333333333333333,49.666666666666664,0.7999999999999999,980,-7.433333333333333,0.023333333333333334,0,0,1665
Autumn,No Holiday,6.166666666666667,70.66666666666667,1,944,1.0666666666666667,0.30333333333333334,0,0,0
Spring,No Holiday,0.9,37,1.5666666666666667,1526.3333333333333,-12.3,0.32333333333333336,0,0,794
Summer,No Holiday,24.5,81.66666666666667,0.5,1938,21.1,0.6733333333333333,0,0,4599
Summer,No Holiday,25.7,78.66666666666667,1.6666666666666667,1299.6666666666667,21.633333333333333,0.5033333333333333,0,0,4675
Autumn,No Holiday,16.6,97,2.4,457,16.1,0.02,8.166666666666666,0,16
Winter,No Holiday,-7.066666666666666,57.666666666666664,2.5,1271,-14.066666666666668,0.06,0,0,475
Summer,No Holiday,19.366666666666667,52.666666666666664,1.4666666666666666,1975,9.366666666666665,0.9566666666666667,0,0,1881
Spring,No Holiday,8.5,97,1.5,156.66666666666666,8,0.07,0.06666666666666667,0,250
Summer,No Holiday,24.633333333333333,94.66666666666667,1.1666666666666667,896.6666666666666,23.7,0.20666666666666667,0,0,2947
Spring,No Holiday,8.2,49.333333333333336,0.4,666.3333333333334,-1.8333333333333333,0.15,0,0,2499
Spring,No Holiday,10.833333333333334,64.66666666666667,0.6333333333333333,951.6666666666666,4.266666666666667,0.4766666666666666,0,0,1395
Summer,No Holiday,23.933333333333334,86.66666666666667,2.966666666666667,1865,21.5,0.36333333333333334,0.6666666666666666,0,3014
Summer,No Holiday,24.666666666666668,57.333333333333336,0.8333333333333334,1993.3333333333333,15.5,0.61,0,0,1629
Summer,No Holiday,20,68,1.9,1377.3333333333333,13.833333333333334,0.7633333333333333,0,0,5175
Summer,No Holiday,29,76,1.5,941.3333333333334,24.233333333333334,0.72,0,0,3692
Summer,No Holiday,23.366666666666667,77.33333333333333,0.5666666666666667,1285,19.066666666666666,0.3466666666666667,0.03333333333333333,0,3563
Autumn,No Holiday,16.6,70.66666666666667,0.8,1928.6666666666667,11.066666666666666,0.5233333333333333,0,0,0
Spring,No Holiday,17.46666666666667,70.33333333333333,1.3,1407.3333333333333,11.933333333333334,0.24333333333333335,0,0,3577
Spring,No Holiday,8.966666666666667,40,0.6666666666666667,1921.3333333333333,-4.166666666666667,0.92,0,0,4089
Summer,No Holiday,27.4,70.33333333333333,1.1,1991.3333333333333,21.4,0.77,0,0,3647
Winter,No Holiday,0.06666666666666667,96,0.5,191.66666666666666,-0.4666666666666667,0.14,0,3.7333333333333334,779
Spring,No Holiday,15.8,75,1.2,790.6666666666666,11.266666666666666,0.13999999999999999,0,0,3193
Summer,No Holiday,30.1,56.333333333333336,1.0666666666666667,1981.6666666666667,20.366666666666667,0.6366666666666666,0,0,4115
Summer,No Holiday,28.566666666666666,56.666666666666664,1.1,2000,19.033333333333335,0.8099999999999999,0,0,1404
Winter,No Holiday,-0.8666666666666667,49.666666666666664,0.8666666666666667,1514.3333333333333,-10.1,0.16333333333333333,0,0,408
Summer,No Holiday,23.366666666666667,82.66666666666667,0.6666666666666666,302.3333333333333,20.2,0.32333333333333336,0,0,2155
Summer,No Holiday,19.066666666666666,68,1.1666666666666667,1907.3333333333333,12.9,1.32,0,0,5385
Summer,No Holiday,20.566666666666666,75.66666666666667,1.6333333333333333,594.6666666666666,16.066666666666666,0.4166666666666667,0,0,5470
Spring,No Holiday,3.1333333333333333,91.33333333333333,0.8333333333333333,469.3333333333333,1.8333333333333333,0.07333333333333333,0.16666666666666666,0,252
Winter,No Holiday,0.7333333333333333,45.333333333333336,0.8,1255.3333333333333,-9.733333333333333,0.016666666666666666,0,0,1462
Autumn,No Holiday,15.033333333333333,73.33333333333333,1.1666666666666665,1653.3333333333333,10.066666666666666,0.5399999999999999,0,0,1687
Autumn,No Holiday,16.966666666666665,71,1.4666666666666668,1647.3333333333333,11.433333333333334,0.05666666666666667,0.5,0,537
Autumn,No Holiday,1.0333333333333332,49.666666666666664,1.0666666666666667,1954.3333333333333,-8.333333333333334,0.19,0,0,3707
Winter,No Holiday,-11.4,40.666666666666664,2.2666666666666666,1981.6666666666667,-22.133333333333333,0.15,0,0,876
Winter,No Holiday,-6.5,62.333333333333336,0.7666666666666667,782.3333333333334,-12.466666666666667,0.03,0,0,1273
Spring,No Holiday,3.8666666666666667,47.666666666666664,0.7666666666666667,1174.3333333333333,-6.266666666666667,0.08,0,0,2332
Winter,Holiday,-3.1666666666666665,36,1.1333333333333333,1993.3333333333333,-16.233333333333334,0,0,0,279
Summer,No Holiday,23.4,83.66666666666667,0.9333333333333333,1902,20.433333333333334,0.31666666666666665,0,0,3888
Autumn,No Holiday,15.4,56.666666666666664,1.4666666666666666,2000,6.7,0.32666666666666666,0,0,0
Spring,No Holiday,11.633333333333333,47.666666666666664,1.7333333333333334,1864.3333333333333,0.7000000000000001,1.0466666666666666,0,0,4456
Autumn,No Holiday,3.833333333333333,68,0.9,979,-1.5333333333333332,0.17333333333333334,0,0,3631
Summer,No Holiday,20.6,57,1,1045,11.633333333333333,1.1866666666666665,0,0,4789
Summer,No Holiday,28.566666666666666,55.666666666666664,1.3,2000,18.766666666666666,0.32999999999999996,0,0,3322
Spring,No Holiday,8.633333333333333,39.333333333333336,1.1,1344,-4.733333333333333,0.8666666666666667,0,0,3885
Summer,No Holiday,27.433333333333334,63.666666666666664,0.7333333333333334,1082,19.8,1.0266666666666666,0,0,1940
Summer,No Holiday,29.4,63.333333333333336,0.7000000000000001,1918.3333333333333,21.566666666666666,0.7366666666666667,0,0,3749
Spring,No Holiday,13.366666666666667,52.666666666666664,0.9333333333333333,731.6666666666666,3.6,0.7400000000000001,0,0,3600
Winter,No Holiday,-12.066666666666666,49.333333333333336,2.1666666666666665,1933,-20.533333333333335,0.03333333333333333,0,0,1135
Autumn,No Holiday,6.633333333333333,62.333333333333336,0.8666666666666667,1901.6666666666667,-0.2333333333333333,0.5199999999999999,0,0,4244
Spring,No Holiday,1.8333333333333333,41.666666666666664,1.7333333333333334,2000,-9.8,0.18,0,0,2316
Spring,No Holiday,10.766666666666667,78,1.3333333333333333,2000,7,0.4166666666666667,0,0,3067
Winter,No Holiday,-10.233333333333334,51.666666666666664,0.9,1499.6666666666667,-18.333333333333332,0.04666666666666667,0,0,1205
Spring,No Holiday,5.9,56.333333333333336,1.1,882.3333333333334,-2.1,0.15000000000000002,0,0,843
Spring,No Holiday,15.066666666666666,51.666666666666664,1.0333333333333334,466.6666666666667,4.5,0.9066666666666667,0,0,1571
Winter,No Holiday,-4.5,30.666666666666668,0.8333333333333334,2000,-19.2,0.1,0,0,281
